SUBJECT;LABEL;DICE
117122;Amygdala;0.0
117122;GreyMatter;0.6436756285090806
117122;Hippocampus;0.12181078346448096
117122;Thalamus;0.4302256707931055
117122;WhiteMatter;0.7922207362465705
117122-PP;Amygdala;0.0
117122-PP;GreyMatter;0.6436756285090806
117122-PP;Hippocampus;0.12181078346448096
117122-PP;Thalamus;0.4302256707931055
117122-PP;WhiteMatter;0.7922207362465705
118528;Amygdala;0.0
118528;GreyMatter;0.5794563671648685
118528;Hippocampus;0.10332713370531102
118528;Thalamus;0.367442119944212
118528;WhiteMatter;0.652854694092827
118528-PP;Amygdala;0.0
118528-PP;GreyMatter;0.5794563671648685
118528-PP;Hippocampus;0.10332713370531102
118528-PP;Thalamus;0.367442119944212
118528-PP;WhiteMatter;0.652854694092827
118730;Amygdala;0.0
118730;GreyMatter;0.6349360323362331
118730;Hippocampus;0.10132956402667963
118730;Thalamus;0.4184025604806265
118730;WhiteMatter;0.8037569557665926
118730-PP;Amygdala;0.0
118730-PP;GreyMatter;0.6349360323362331
118730-PP;Hippocampus;0.10132956402667963
118730-PP;Thalamus;0.4184025604806265
118730-PP;WhiteMatter;0.8037569557665926
118932;Amygdala;0.0
118932;GreyMatter;0.6675741885610272
118932;Hippocampus;0.11650603714332124
118932;Thalamus;0.38182079494099425
118932;WhiteMatter;0.8012868416065676
118932-PP;Amygdala;0.0
118932-PP;GreyMatter;0.6675741885610272
118932-PP;Hippocampus;0.11650603714332124
118932-PP;Thalamus;0.38182079494099425
118932-PP;WhiteMatter;0.8012868416065676
120111;Amygdala;0.0
120111;GreyMatter;0.6333917481012579
120111;Hippocampus;0.12339588075782447
120111;Thalamus;0.39931315186975325
120111;WhiteMatter;0.7683045843617238
120111-PP;Amygdala;0.0
120111-PP;GreyMatter;0.6333917481012579
120111-PP;Hippocampus;0.12339588075782447
120111-PP;Thalamus;0.39931315186975325
120111-PP;WhiteMatter;0.7683045843617238
122317;Amygdala;0.0
122317;GreyMatter;0.6357772827807832
122317;Hippocampus;0.11587786508960808
122317;Thalamus;0.42904104970357676
122317;WhiteMatter;0.7384182140477478
122317-PP;Amygdala;0.0
122317-PP;GreyMatter;0.6357772827807832
122317-PP;Hippocampus;0.11587786508960808
122317-PP;Thalamus;0.42904104970357676
122317-PP;WhiteMatter;0.7384182140477478
122620;Amygdala;0.0
122620;GreyMatter;0.6547864560454993
122620;Hippocampus;0.1219191587249425
122620;Thalamus;0.4182311253614611
122620;WhiteMatter;0.793121284958743
122620-PP;Amygdala;0.0
122620-PP;GreyMatter;0.6547864560454993
122620-PP;Hippocampus;0.1219191587249425
122620-PP;Thalamus;0.4182311253614611
122620-PP;WhiteMatter;0.793121284958743
123117;Amygdala;0.0
123117;GreyMatter;0.5956527572617211
123117;Hippocampus;0.11432107611634042
123117;Thalamus;0.08406254482857553
123117;WhiteMatter;0.7500549095371881
123117-PP;Amygdala;0.0
123117-PP;GreyMatter;0.5956527572617211
123117-PP;Hippocampus;0.11432107611634042
123117-PP;Thalamus;0.08406254482857553
123117-PP;WhiteMatter;0.7500549095371881
123925;Amygdala;0.0
123925;GreyMatter;0.6264892886452009
123925;Hippocampus;0.13682261864692022
123925;Thalamus;0.4430231372948731
123925;WhiteMatter;0.7691432992200291
123925-PP;Amygdala;0.0
123925-PP;GreyMatter;0.6264892886452009
123925-PP;Hippocampus;0.13682261864692022
123925-PP;Thalamus;0.4430231372948731
123925-PP;WhiteMatter;0.7691432992200291
124422;Amygdala;0.0
124422;GreyMatter;0.5692357256145916
124422;Hippocampus;0.1251713774662466
124422;Thalamus;0.43617730487183176
124422;WhiteMatter;0.6653837639004785
124422-PP;Amygdala;0.0
124422-PP;GreyMatter;0.5692357256145916
124422-PP;Hippocampus;0.1251713774662466
124422-PP;Thalamus;0.43617730487183176
124422-PP;WhiteMatter;0.6653837639004785
