SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.0;inf
117122;GreyMatter;0.002686982236932297;36.72873534441391
117122;Hippocampus;0.01610558600597237;75.0133321483588
117122;Thalamus;0.04265956887380518;60.34898507845845
117122;WhiteMatter;0.0;inf
117122-PP;Amygdala;0.0;inf
117122-PP;GreyMatter;0.0015223903495400375;57.73214009544424
117122-PP;Hippocampus;0.012875061669332775;76.26270385975047
117122-PP;Thalamus;0.055956627193608215;56.621550667568265
117122-PP;WhiteMatter;0.0;inf
118528;Amygdala;0.0;inf
118528;GreyMatter;0.0005555277791665972;27.313000567495326
118528;Hippocampus;0.019246685058289578;74.02702209328699
118528;Thalamus;0.038910334905634475;62.64982043070834
118528;WhiteMatter;0.0;inf
118528-PP;Amygdala;0.0;inf
118528-PP;GreyMatter;0.0001189544646026828;51.61395160225576
118528-PP;Hippocampus;0.015663711675441314;75.02666192761077
118528-PP;Thalamus;0.052558328642021646;59.08468498688979
118528-PP;WhiteMatter;0.0;inf
118730;Amygdala;0.0;inf
118730;GreyMatter;0.011667277744211547;34.48187929913333
118730;Hippocampus;0.016084642704553034;71.87489130426563
118730;Thalamus;0.042647961193894884;61.30252849597641
118730;WhiteMatter;0.0;inf
118730-PP;Amygdala;0.0;inf
118730-PP;GreyMatter;0.009621432570484596;58.44655678480983
118730-PP;Hippocampus;0.012862577628076929;72.94518489934754
118730-PP;Thalamus;0.058766527371898;57.14017850864661
118730-PP;WhiteMatter;0.0;inf
118932;Amygdala;0.0;inf
118932;GreyMatter;0.010958836898372296;23.53720459187964
118932;Hippocampus;0.015379289270883563;73.92563831310488
118932;Thalamus;0.04187011069649018;58.66856057549052
118932;WhiteMatter;0.0;inf
118932-PP;Amygdala;0.0;inf
118932-PP;GreyMatter;0.007449447652434499;54.8270006474912
118932-PP;Hippocampus;0.012301652445136795;74.95998932764064
118932-PP;Thalamus;0.04879435721418157;56.4003546088143
118932-PP;WhiteMatter;0.0;inf
120111;Amygdala;0.0;inf
120111;GreyMatter;0.0024700684065061124;32.802438933713454
120111;Hippocampus;0.01689406415803469;70.32069396699666
120111;Thalamus;0.043162769482226686;60.61352984276695
120111;WhiteMatter;0.0;inf
120111-PP;Amygdala;0.0;inf
120111-PP;GreyMatter;0.0009864720990802951;85.16454661418682
120111-PP;Hippocampus;0.013478725452220047;71.56116265125938
120111-PP;Thalamus;0.05686292546638746;57.445626465380286
120111-PP;WhiteMatter;0.0;inf
122317;Amygdala;0.0;inf
122317;GreyMatter;0.003778252304545933;30.886890422961002
122317;Hippocampus;0.013076318329734195;73.824115301167
122317;Thalamus;0.028203634966798265;64.38167441127949
122317;WhiteMatter;0.0;inf
122317-PP;Amygdala;0.0;inf
122317-PP;GreyMatter;0.0023136377984904646;55.937465083787984
122317-PP;Hippocampus;0.012332528353207885;74.33034373659252
122317-PP;Thalamus;0.03600973349758416;62.20932405998316
122317-PP;WhiteMatter;0.0;inf
122620;Amygdala;0.0;inf
122620;GreyMatter;0.015130451190054487;29.698484809834994
122620;Hippocampus;0.01822621170367969;71.47027354082255
122620;Thalamus;0.04499439385017464;60.73713855624086
122620;WhiteMatter;0.0;inf
122620-PP;Amygdala;0.0;inf
122620-PP;GreyMatter;0.01191532921957994;60.423505360083176
122620-PP;Hippocampus;0.014661629096809741;72.42927584892728
122620-PP;Thalamus;0.0605959674061738;56.49778756730214
122620-PP;WhiteMatter;0.0;inf
123117;Amygdala;0.0;inf
123117;GreyMatter;0.004417966396679831;20.46948949045872
123117;Hippocampus;0.015666661351730102;74.22263805605402
123117;Thalamus;0.04969953233870151;57.02630971753301
123117;WhiteMatter;0.0;inf
123117-PP;Amygdala;0.0;inf
123117-PP;GreyMatter;0.001814868076009136;84.26743143112884
123117-PP;Hippocampus;0.012550000208841805;75.67033764957046
123117-PP;Thalamus;0.0631889159060497;53.907327887774215
123117-PP;WhiteMatter;0.0;inf
123925;Amygdala;0.0;inf
123925;GreyMatter;0.0009802634816990139;45.967379738244816
123925;Hippocampus;0.01935695808465019;74.14849964766651
123925;Thalamus;0.04276739681463131;61.814237842102365
123925;WhiteMatter;0.0;inf
123925-PP;Amygdala;0.0;inf
123925-PP;GreyMatter;0.0007528246350548884;73.33484846919642
123925-PP;Hippocampus;0.015153478191197379;74.88658090739622
123925-PP;Thalamus;0.056282329120331556;58.86425061104575
123925-PP;WhiteMatter;0.0;inf
124422;Amygdala;0.0;inf
124422;GreyMatter;0.0010608120319658026;46.36809247747852
124422;Hippocampus;0.016683811753816405;66.49060083951716
124422;Thalamus;0.04074482487424181;62.27358990776106
124422;WhiteMatter;0.0;inf
124422-PP;Amygdala;0.0;inf
124422-PP;GreyMatter;0.0004298547958386901;61.35959582656978
124422-PP;Hippocampus;0.013990669731529966;68.42514157822401
124422-PP;Thalamus;0.05836816873337191;58.22370651203855
124422-PP;WhiteMatter;0.0;inf
