LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.35842399701073646
Amygdala;DICE;STD;0.05282387837418351
Amygdala;HDRFDST;MEAN;11.97524903107701
Amygdala;HDRFDST;STD;1.2623037050128412
GreyMatter;DICE;MEAN;0.7080092839066773
GreyMatter;DICE;STD;0.010622920981259993
GreyMatter;HDRFDST;MEAN;2.320465929799249
GreyMatter;HDRFDST;STD;0.3397614878718714
Hippocampus;DICE;MEAN;0.2662064220967097
Hippocampus;DICE;STD;0.03544537801260774
Hippocampus;HDRFDST;MEAN;18.0817129017084
Hippocampus;HDRFDST;STD;2.086062928147658
Thalamus;DICE;MEAN;0.5741807415189935
Thalamus;DICE;STD;0.04040145419406639
Thalamus;HDRFDST;MEAN;16.629116635168963
Thalamus;HDRFDST;STD;3.0368536240568007
WhiteMatter;DICE;MEAN;0.8060118829117823
WhiteMatter;DICE;STD;0.031446767155840126
WhiteMatter;HDRFDST;MEAN;2.9914379926553907
WhiteMatter;HDRFDST;STD;0.5489068555755957
