LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.35778909561646055
Amygdala;DICE;STD;0.05312451967475224
Amygdala;HDRFDST;MEAN;12.542930674193638
Amygdala;HDRFDST;STD;1.6658001387838666
GreyMatter;DICE;MEAN;0.7070651295998985
GreyMatter;DICE;STD;0.011736272461155297
GreyMatter;HDRFDST;MEAN;2.3591446987313724
GreyMatter;HDRFDST;STD;0.484186214640258
Hippocampus;DICE;MEAN;0.27260567440224104
Hippocampus;DICE;STD;0.035108349192980004
Hippocampus;HDRFDST;MEAN;17.37686150067494
Hippocampus;HDRFDST;STD;2.396807123312387
Thalamus;DICE;MEAN;0.5819487482758092
Thalamus;DICE;STD;0.037875293350125606
Thalamus;HDRFDST;MEAN;14.942179256879111
Thalamus;HDRFDST;STD;2.3305104709680067
WhiteMatter;DICE;MEAN;0.8025389113069679
WhiteMatter;DICE;STD;0.03135166759186801
WhiteMatter;HDRFDST;MEAN;3.366685463429323
WhiteMatter;HDRFDST;STD;0.7844928236342799
