SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.3418317950041954;13.601470508735444
117122;GreyMatter;0.704566695857007;2.449489742783178
117122;Hippocampus;0.3565734583453802;13.2664991614216
117122;Thalamus;0.6386254140319181;8.94427190999916
117122;WhiteMatter;0.8285395195193531;2.8284271247461903
117122-PP;Amygdala;0.2819378564195491;13.601470508735444
117122-PP;GreyMatter;0.7053360121165199;2.23606797749979
117122-PP;Hippocampus;0.2817657101048695;13.490737563232042
117122-PP;Thalamus;0.6464015518913676;8.246211251235321
117122-PP;WhiteMatter;0.8279832911707802;2.23606797749979
118528;Amygdala;0.3884787957736286;13.74772708486752
118528;GreyMatter;0.6741979914440259;2.0
118528;Hippocampus;0.4218520121159671;13.601470508735444
118528;Thalamus;0.6157590197413206;16.583123951777
118528;WhiteMatter;0.7216485286072382;4.0
118528-PP;Amygdala;0.30793050060209876;14.247806848775006
118528-PP;GreyMatter;0.6737062158099932;2.0
118528-PP;Hippocampus;0.32982515131136514;14.212670403551895
118528-PP;Thalamus;0.6292850146914789;15.394804318340652
118528-PP;WhiteMatter;0.7227672589707875;3.605551275463989
118730;Amygdala;0.3928743961352657;11.224972160321824
118730;GreyMatter;0.7011097672194058;2.449489742783178
118730;Hippocampus;0.30247247789207726;13.74772708486752
118730;Thalamus;0.6074360038244367;9.0
118730;WhiteMatter;0.8310327336419155;2.0
118730-PP;Amygdala;0.32864559705630325;11.313708498984761
118730-PP;GreyMatter;0.7011791705687893;2.23606797749979
118730-PP;Hippocampus;0.25054808319014044;13.92838827718412
118730-PP;Thalamus;0.6239114997944463;7.810249675906654
118730-PP;WhiteMatter;0.8299037809684056;2.23606797749979
118932;Amygdala;0.3612539799167279;12.767145334803704
118932;GreyMatter;0.7157797721071634;2.449489742783178
118932;Hippocampus;0.33618785600805984;12.84523257866513
118932;Thalamus;0.6605340716263285;7.681145747868608
118932;WhiteMatter;0.8159747696082678;2.23606797749979
118932-PP;Amygdala;0.30119928553202346;12.569805089976535
118932-PP;GreyMatter;0.7161044712875582;2.23606797749979
118932-PP;Hippocampus;0.2727842547323555;12.727922061357855
118932-PP;Thalamus;0.6721072895750051;7.0710678118654755
118932-PP;WhiteMatter;0.8154380814183386;2.23606797749979
120111;Amygdala;0.4159286229744801;9.433981132056603
120111;GreyMatter;0.7073232800892744;2.0
120111;Hippocampus;0.3906232236647643;11.874342087037917
120111;Thalamus;0.6034228487155743;13.379088160259652
120111;WhiteMatter;0.8113339917258651;2.23606797749979
120111-PP;Amygdala;0.3420741536808168;10.0
120111-PP;GreyMatter;0.7072357760155685;2.0
120111-PP;Hippocampus;0.3009746043944528;12.529964086141668
120111-PP;Thalamus;0.612354300022924;11.532562594670797
120111-PP;WhiteMatter;0.810782108296101;2.23606797749979
122317;Amygdala;0.4485109436670255;12.884098726725126
122317;GreyMatter;0.7018757146794201;2.23606797749979
122317;Hippocampus;0.3758735946520814;12.041594578792296
122317;Thalamus;0.6223391992622762;7.874007874011811
122317;WhiteMatter;0.7684274684123693;3.0
122317-PP;Amygdala;0.36878428596708546;12.806248474865697
122317-PP;GreyMatter;0.7019316388918163;2.0
122317-PP;Hippocampus;0.29533416420003117;12.409673645990857
122317-PP;Thalamus;0.6374930977360574;7.54983443527075
122317-PP;WhiteMatter;0.7684378638738125;3.0
122620;Amygdala;0.4508722421754746;12.409673645990857
122620;GreyMatter;0.7136114847088846;3.605551275463989
122620;Hippocampus;0.33277181675028383;14.7648230602334
122620;Thalamus;0.6479046242774567;7.615773105863909
122620;WhiteMatter;0.8232775465467547;2.23606797749979
122620-PP;Amygdala;0.3768424413345395;12.569805089976535
122620-PP;GreyMatter;0.7143996612408385;3.1622776601683795
122620-PP;Hippocampus;0.27033566949465143;14.730919862656235
122620-PP;Thalamus;0.6623923659000261;6.708203932499369
122620-PP;WhiteMatter;0.8225968848057451;2.23606797749979
123117;Amygdala;0.3514836882779777;12.206555615733702
123117;GreyMatter;0.6752943603256512;5.0
123117;Hippocampus;0.3413794422554608;13.19090595827292
123117;Thalamus;0.5808450704225352;16.881943016134134
123117;WhiteMatter;0.8444775072696241;3.0
123117-PP;Amygdala;0.29423695275785305;12.24744871391589
123117-PP;GreyMatter;0.6758617098962304;4.47213595499958
123117-PP;Hippocampus;0.2796004814230114;13.601470508735444
123117-PP;Thalamus;0.5913877557986722;16.583123951777
123117-PP;WhiteMatter;0.8434101482244947;2.449489742783178
123925;Amygdala;0.40118538030951595;11.704699910719626
123925;GreyMatter;0.7012922754525874;2.23606797749979
123925;Hippocampus;0.3452296480966536;14.0
123925;Thalamus;0.6544644721274967;11.916375287812984
123925;WhiteMatter;0.8199996371430719;3.0
123925-PP;Amygdala;0.3275276354812618;12.12435565298214
123925-PP;GreyMatter;0.701972389167052;2.0
123925-PP;Hippocampus;0.2773620062925741;13.74772708486752
123925-PP;Thalamus;0.6688273318172865;10.0
123925-PP;WhiteMatter;0.8194036977731081;2.8284271247461903
124422;Amygdala;0.4917900403768506;11.0
124422;GreyMatter;0.6614596216726545;2.23606797749979
124422;Hippocampus;0.39458265729223;10.63014581273465
124422;Thalamus;0.6759419189522634;8.602325267042627
124422;WhiteMatter;0.7157532540035794;3.7416573867739413
124422-PP;Amygdala;0.40500027656396925;10.723805294763608
124422-PP;GreyMatter;0.6611601144553386;2.0
124422-PP;Hippocampus;0.306902807775378;11.180339887498949
124422-PP;Thalamus;0.6913142567738668;7.3484692283495345
124422-PP;WhiteMatter;0.7156387376547254;3.605551275463989
