SUBJECT;LABEL;HDRFDST
117122;Amygdala;inf
117122;GreyMatter;7.280109889280518
117122;Hippocampus;33.28663395418648
117122;Thalamus;41.036569057366385
117122;WhiteMatter;5.0
117122-PP;Amygdala;inf
117122-PP;GreyMatter;7.280109889280518
117122-PP;Hippocampus;33.28663395418648
117122-PP;Thalamus;41.036569057366385
117122-PP;WhiteMatter;5.0
118528;Amygdala;inf
118528;GreyMatter;5.0990195135927845
118528;Hippocampus;32.64965543462902
118528;Thalamus;45.14421336118285
118528;WhiteMatter;6.0
118528-PP;Amygdala;inf
118528-PP;GreyMatter;5.0990195135927845
118528-PP;Hippocampus;32.64965543462902
118528-PP;Thalamus;45.14421336118285
118528-PP;WhiteMatter;6.0
118730;Amygdala;inf
118730;GreyMatter;5.830951894845301
118730;Hippocampus;35.41186241925155
118730;Thalamus;39.824615503479755
118730;WhiteMatter;5.744562646538029
118730-PP;Amygdala;inf
118730-PP;GreyMatter;5.830951894845301
118730-PP;Hippocampus;35.41186241925155
118730-PP;Thalamus;39.824615503479755
118730-PP;WhiteMatter;5.744562646538029
118932;Amygdala;inf
118932;GreyMatter;7.211102550927978
118932;Hippocampus;33.52610922848042
118932;Thalamus;43.73785545725808
118932;WhiteMatter;4.358898943540674
118932-PP;Amygdala;inf
118932-PP;GreyMatter;7.211102550927978
118932-PP;Hippocampus;33.52610922848042
118932-PP;Thalamus;43.73785545725808
118932-PP;WhiteMatter;4.358898943540674
120111;Amygdala;inf
120111;GreyMatter;5.385164807134504
120111;Hippocampus;33.28663395418648
120111;Thalamus;41.53311931459037
120111;WhiteMatter;4.358898943540674
120111-PP;Amygdala;inf
120111-PP;GreyMatter;5.385164807134504
120111-PP;Hippocampus;33.28663395418648
120111-PP;Thalamus;41.53311931459037
120111-PP;WhiteMatter;4.358898943540674
122317;Amygdala;inf
122317;GreyMatter;7.0
122317;Hippocampus;31.89043743820395
122317;Thalamus;43.657759905886145
122317;WhiteMatter;5.0990195135927845
122317-PP;Amygdala;inf
122317-PP;GreyMatter;7.0
122317-PP;Hippocampus;31.89043743820395
122317-PP;Thalamus;43.657759905886145
122317-PP;WhiteMatter;5.0990195135927845
122620;Amygdala;inf
122620;GreyMatter;8.0
122620;Hippocampus;34.058772731852805
122620;Thalamus;41.2189276910499
122620;WhiteMatter;6.0
122620-PP;Amygdala;inf
122620-PP;GreyMatter;8.0
122620-PP;Hippocampus;34.058772731852805
122620-PP;Thalamus;41.2189276910499
122620-PP;WhiteMatter;6.0
123117;Amygdala;inf
123117;GreyMatter;9.695359714832659
123117;Hippocampus;32.4037034920393
123117;Thalamus;51.55579501860097
123117;WhiteMatter;6.782329983125268
123117-PP;Amygdala;inf
123117-PP;GreyMatter;9.695359714832659
123117-PP;Hippocampus;32.4037034920393
123117-PP;Thalamus;51.55579501860097
123117-PP;WhiteMatter;6.782329983125268
123925;Amygdala;inf
123925;GreyMatter;5.916079783099616
123925;Hippocampus;31.591137997862628
123925;Thalamus;40.2119385257662
123925;WhiteMatter;5.0990195135927845
123925-PP;Amygdala;inf
123925-PP;GreyMatter;5.916079783099616
123925-PP;Hippocampus;31.591137997862628
123925-PP;Thalamus;40.2119385257662
123925-PP;WhiteMatter;5.0990195135927845
124422;Amygdala;inf
124422;GreyMatter;5.385164807134504
124422;Hippocampus;33.301651610693426
124422;Thalamus;43.41658669218482
124422;WhiteMatter;7.0710678118654755
124422-PP;Amygdala;inf
124422-PP;GreyMatter;5.385164807134504
124422-PP;Hippocampus;33.301651610693426
124422-PP;Thalamus;43.41658669218482
124422-PP;WhiteMatter;7.0710678118654755
